,date,home_team,away_team,score,odd_1,odd_N,odd_2,winner,league_season,game_url
1096,11.09.2002,Manchester Utd,Bolton,0:1,1.26,5.43,9.53,2.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/manchester-united-bolton/bsfo00w8/
1097,11.09.2002,Newcastle,Leeds,0:2,2.18,3.22,3.37,2.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/newcastle-utd-leeds/6Xrz9hs8/
1098,11.09.2002,Southampton,Everton,1:0,2.23,3.15,3.27,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/southampton-everton/U12U3rvq/
1099,11.09.2002,West Ham,West Brom,0:1,1.61,3.63,5.43,2.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/west-ham-west-brom/CQiZ22gk/
1100,10.09.2002,Arsenal,Manchester City,2:1,1.34,4.70,7.87,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/arsenal-manchester-city/EDzfPCPc/
1101,10.09.2002,Middlesbrough,Sunderland,3:0,2.13,3.22,3.47,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/middlesbrough-sunderland/WlVbOWv4/
1102,03.09.2002,Manchester Utd,Middlesbrough,1:0,1.34,4.83,8.23,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/manchester-united-middlesbrough/zNyjQhAi/
1103,02.09.2002,Liverpool,Newcastle,2:2,1.69,3.53,5.02,1.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/liverpool-newcastle-utd/I1Pa19Xj/
1104,01.09.2002,Bolton,Aston Villa,1:0,2.63,3.00,2.67,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/bolton-aston-villa/bHrT6V9T/
1105,01.09.2002,Chelsea,Arsenal,1:1,2.87,3.02,2.47,1.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/chelsea-arsenal/4bLe2kIp/
1106,31.08.2002,Birmingham,Leeds,2:1,4.00,3.33,1.90,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/birmingham-leeds/0CViDFQo/
1107,31.08.2002,Manchester City,Everton,3:1,1.95,3.23,3.90,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/manchester-city-everton/v3UeCZuh/
1108,31.08.2002,Middlesbrough,Blackburn,1:0,2.28,3.15,3.20,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/middlesbrough-blackburn/YPTaBgeb/
1109,31.08.2002,Sunderland,Manchester Utd,1:1,5.08,3.53,1.69,1.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/sunderland-manchester-united/nTX3ADA4/
1110,31.08.2002,Tottenham,Southampton,2:1,1.71,3.50,5.00,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/tottenham-southampton/UiN89XPA/
1111,31.08.2002,West Brom,Fulham,1:0,2.80,3.10,2.47,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/west-brom-fulham/C0pL8iuH/
1112,31.08.2002,West Ham,Charlton,0:2,1.88,3.33,4.07,2.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/west-ham-charlton/KQqP7BfN/
1113,28.08.2002,Aston Villa,Manchester City,1:0,2.18,3.22,3.33,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/aston-villa-manchester-city/U7qMeEeB/
1114,28.08.2002,Blackburn,Liverpool,2:2,3.40,3.22,2.15,1.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/blackburn-liverpool/CWYQfYAH/
1115,28.08.2002,Everton,Birmingham,1:1,1.75,3.50,4.57,1.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/everton-birmingham/O6xVghQN/
1116,28.08.2002,Leeds,Sunderland,0:1,1.45,4.13,6.90,2.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/leeds-sunderland/ITyZhCuU/
1117,28.08.2002,Southampton,Chelsea,1:1,3.27,3.17,2.23,1.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/southampton-chelsea/KxO0lWmo/
1118,27.08.2002,Arsenal,West Brom,5:2,1.24,5.50,9.69,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/arsenal-west-brom/IPH5czRb/
1119,27.08.2002,Charlton,Tottenham,0:1,2.62,3.08,2.67,2.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/charlton-tottenham/naM9dft5/
1120,24.08.2002,Birmingham,Blackburn,0:1,2.55,3.10,2.72,2.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/birmingham-blackburn/6sUJqHda/
1121,24.08.2002,Bolton,Charlton,1:2,2.26,3.13,3.13,2.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/bolton-charlton/O2dWryC5/
1122,24.08.2002,Liverpool,Southampton,3:0,1.35,4.66,8.27,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/liverpool-southampton/IPezreRB/
1123,24.08.2002,Manchester City,Newcastle,1:0,2.75,3.10,2.49,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/manchester-city-newcastle-utd/dGfvsFtI/
1124,24.08.2002,Middlesbrough,Fulham,2:2,2.06,3.10,3.53,1.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/middlesbrough-fulham/OxRztZeO/
1125,24.08.2002,Sunderland,Everton,0:1,2.18,3.13,3.33,2.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/sunderland-everton/2TPvugBU/
1126,24.08.2002,Tottenham,Aston Villa,1:0,1.95,3.23,3.92,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/tottenham-aston-villa/r7Ph0xst/
1127,24.08.2002,West Brom,Leeds,1:3,3.63,3.20,2.03,2.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/west-brom-leeds/vZI1bGBh/
1128,24.08.2002,West Ham,Arsenal,2:2,4.33,3.40,1.80,1.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/west-ham-arsenal/dATdaddn/
1129,23.08.2002,Chelsea,Manchester Utd,2:2,3.00,3.07,2.38,1.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/chelsea-manchester-united/OIvFpcsg/
1130,19.08.2002,Newcastle,West Ham,4:0,1.65,3.43,5.10,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/newcastle-utd-west-ham/pSuBowSn/
1131,18.08.2002,Arsenal,Birmingham,2:0,1.29,5.11,8.81,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/arsenal-birmingham/Ghy7nJCt/
